商品名稱或組群	類別	組群代碼	修正事項	公告期數
工業用谷氨酸	01	010101	新增	42卷01期
木醇蒸餾劑	01	010101	新增	42卷01期
氯化銨溶液	01	010101	新增	41卷13期
木醋酸（焦木酸）	01	010101	修正為「焦木酸（木醋）」	41卷13期
硫化碳	01	010101	修正為「二硫化碳」	41卷13期
試紙(醫療用及獸醫用除外)	01	010104	新增	41卷13期
漆以外的水泥防水用化學品	01	010105	新增	41卷13期
化學用硝酸鉍	01	010101	修正為「化學用亞硝酸鉍」	41卷01期
尖晶石（化學劑）	01	010101	修正為「尖晶石（氧化物礦物）」	41卷01期
有機物漂白用化學品	01	010101	刪除	41卷01期
海水（工業用）	01	010101	修正為「工業用海水」	41卷01期
硫酸銅	01	010101	新增	41卷01期
鈉鹽（化合物）	01	010101	新增	41卷01期
橄欖石(化學劑)	01	010101	修正為「橄欖石（矽酸鹽礦物）」	41卷01期
葡萄酒發酵用化學品	01	010103	刪除	41卷01期
潤滑油化學添加劑	01	0103	新增	40卷13期
膠捲	01	0105	新增	40卷13期
工業用穀蛋白黏膠質	01	010101	新增	39卷13期
工業用鉻蛋白	01	010101	修正為「工業用酪蛋白」	39卷13期
苯系的酸類	01	010101	修正為「苯系酸類」	39卷13期
漂白用潤濕（加濕）劑	01	010101	刪除	39卷13期
銷	01	010101	刪除	39卷13期
食品化學添加劑	01	010103	刪除	39卷13期
漆以及油以外的水泥保存劑	01	010105	修正為「漆及油以外的水泥保存劑」	39卷13期
果實的促進熟成用荷爾蒙	01	0102	修正為「果實促進熟成用荷爾蒙」	39卷13期
工業用牛奶發酵劑	01	010101	新增	39卷08期
蛋白（動物性或植物性原料）	01	010101	新增	39卷08期
果膠	01	010101	修正為「工業用果膠」	39卷08期
工業用藻酸鹽	01	010101	新增	39卷08期
工業用乳糖	01	010101	新增	39卷08期
乳糖（原料）	01	010101	新增	39卷08期
非醫療用酒石	01	010101	修正為「化學用酒石」	39卷08期
工業用酒石	01	010101	新增	39卷08期
非醫療及獸醫用生物組織培養物	01	010101	新增	39卷08期
非醫療及獸醫用幹細胞	01	010101	新增	39卷08期
食品工業用牛奶發酵劑	01	010103	新增	39卷08期
食品工業用酵素製劑	01	010103	新增	39卷08期
食品工業用酵素	01	010103	新增	39卷08期
食品工業用葡萄糖	01	010103	新增	39卷08期
食品工業用卵磷脂	01	010103	新增	39卷08期
食品工業用果膠	01	010103	新增	39卷08期
食品工業用酒石	01	010103	新增	39卷08期
食品工業用穀蛋白黏膠質	01	010103	新增	39卷08期
食品工業用乳糖	01	010103	新增	39卷08期
食品工業用藻酸鹽	01	010103	新增	39卷08期
食品工業用酪蛋白	01	010103	新增	39卷08期
食品工業用蛋白質	01	010103	新增	39卷08期
農業生產用種子基因	01	0102	新增	39卷08期
魚粉肥料	01	0104	新增	39卷08期
